id,year,decade,rank,title,artist,title_norm,artist_norm,source,url,word_count
6650,1966,1960,17,Lightnin' Strikes,Lou Christie,lightnin strikes,lou christie,genius,https://genius.com/Lou-christie-lightnin-strikes-lyrics,242.0
6651,1966,1960,18,Poor Side of Town,Johnny Rivers,poor side of town,johnny rivers,genius,https://genius.com/Johnny-rivers-poor-side-of-town-lyrics,230.0
6652,1966,1960,19,Working in the Coal Mine,Lee Dorsey,working in the coal mine,lee dorsey,genius,https://genius.com/Lee-dorsey-working-in-the-coal-mine-lyrics,346.0
6653,1966,1960,20,A Groovy Kind of Love,The Mindbenders,a groovy kind of love,the mindbenders,genius,https://genius.com/The-mindbenders-a-groovy-kind-of-love-lyrics,174.0
6654,1966,1960,21,You Don't Have to Say You Love Me,Dusty Springfield,you dont have to say you love me,dusty springfield,genius,https://genius.com/Dusty-springfield-you-dont-have-to-say-you-love-me-lyrics,166.0
6655,1966,1960,22,Sunshine Superman,Donovan,sunshine superman,donovan,genius,https://genius.com/Donovan-sunshine-superman-lyrics,245.0
6656,1966,1960,23,Born a Woman,Sandy Posey,born a woman,sandy posey,genius,https://genius.com/Sandy-posey-born-a-woman-lyrics,142.0
6657,1966,1960,24,"Monday, Monday",The Mamas & the Papas,monday monday,the mamas the papas,genius,https://genius.com/The-mamas-and-the-papas-monday-monday-lyrics,292.0
6658,1966,1960,25,Red Rubber Ball,The Cyrkle,red rubber ball,the cyrkle,genius,https://genius.com/The-cyrkle-red-rubber-ball-lyrics,222.0
6659,1966,1960,26,Born Free,Roger Williams,born free,roger williams,genius,https://genius.com/Roger-williams-born-free-lyrics,78.0
6660,1966,1960,27,Walk Away Renée,The Left Banke,walk away renee,the le,azlyrics,https://www.azlyrics.com/lyrics/leftbanke/walkawayrenee.html,164.0
6661,1966,1960,28,Cool Jerk,The Capitols,cool jerk,the capitols,genius,https://genius.com/The-capitols-cool-jerk-lyrics,306.0
6662,1966,1960,29,B-A-B-Y,Carla Thomas,baby,carla thomas,genius,https://genius.com/Carla-thomas-b-a-b-y-lyrics,212.0
6663,1966,1960,30,Hanky Panky,Tommy James and the Shondells,hanky panky,tommy james and the shondells,azlyrics,https://www.azlyrics.com/lyrics/tommyjames/hankypanky.html,258.0
6664,1966,1960,31,When a Man Loves a Woman,Percy Sledge,when a man loves a woman,percy sledge,azlyrics,https://www.azlyrics.com/lyrics/percysledge/whenamanlovesawoman.html,196.0
6665,1966,1960,32,Time Won't Let Me,The Outsiders,time wont let me,the outsiders,genius,https://genius.com/The-outsiders-oh-time-wont-let-me-lyrics,244.0
6666,1966,1960,33,Bus Stop,The Hollies,bus stop,the hollies,azlyrics,https://www.azlyrics.com/lyrics/hollies/busstop.html,214.0
6667,1966,1960,34,Paint It Black,The Rolling Stones,paint it black,the rolling stones,azlyrics,https://www.azlyrics.com/lyrics/rollingstones/paintitblack.html,244.0
6668,1966,1960,35,Summer in the City,The Lovin' Spoonful,summer in the city,the lovin spoonful,azlyrics,https://www.azlyrics.com/lyrics/lovinspoonful/summerinthecity.html,300.0
6670,1966,1960,37,My Love,Petula Clark,my love,petula clark,genius,https://genius.com/Petula-clark-my-love-lyrics,277.0
6671,1966,1960,38,Daydream,The Lovin' Spoonful,daydream,the lovin spoonful,genius,https://genius.com/The-lovin-spoonful-daydream-lyrics,219.0
6672,1966,1960,39,Ain't Too Proud to Beg,The Temptations,aint too proud to beg,the temptations,azlyrics,https://www.azlyrics.com/lyrics/temptations/ainttooproudtobeg.html,277.0
6673,1966,1960,40,Wild Thing,The Troggs,wild thing,the troggs,azlyrics,https://www.azlyrics.com/lyrics/troggs/wildthing.html,97.0
6674,1966,1960,41,Elusive Butterfly,Bob Lind,elusive butterfly,bob lind,genius,https://genius.com/Bob-lind-elusive-butterfly-lyrics,210.0
6675,1966,1960,42,I Am a Rock,Simon & Garfunkel,i am a rock,simon garfunkel,genius,https://genius.com/Simon-and-garfunkel-i-am-a-rock-lyrics,166.0
6676,1966,1960,43,Dirty Water,The Standells,dirty water,the standells,genius,https://genius.com/The-standells-dirty-water-lyrics,210.0
6677,1966,1960,44,Hooray for Hazel,Tommy Roe,hooray for hazel,tommy roe,genius,https://genius.com/Tommy-roe-hooray-for-hazel-lyrics,244.0
6678,1966,1960,45,Crying Time,Ray Charles,crying time,ray charles,genius,https://genius.com/Ray-charles-crying-time-lyrics,209.0
6679,1966,1960,46,Sweet Pea,Tommy Roe,sweet pea,tommy roe,genius,https://genius.com/Tommy-roe-sweet-pea-lyrics,250.0
